Name	ID	ALL	ALL.1	ALL.2	ALL.3	ALL.4	ALL.5	ALL.6	ALL.7	ALL.8	ALL.9	ALL.10	ALL.11	ALL.12	ALL.13	ALL.14	ALL.15	ALL.16	ALL.17	ALL.18	ALL.19	ALL.20	ALL.21	ALL.22	ALL.23	ALL.24	ALL.25	ALL.26	AML	AML.1	AML.2	AML.3	AML.4	AML.5	AML.6	AML.7	AML.8	AML.9	AML.10
CGM7_Carcinoembryonic_antigen_gene_family_member_7	D90276_at	0.47415	0.05185	0.54706	0.05475	0.21613	-0.29517	0.28848	0.08012	0.33604	0.27242	-0.09681	-0.26173	0.09059	-0.18148	-0.36374	0.2345	0.08613	0.54408	-0.21673	0.12357	-0.25473	0.13902	0.31845	0.57296	0.37251	0.62788	0.82448	0.59161	-0.09999	0.28846	0.3218	0.14171	0.66512	0.51923	0.54213	0.29587	-0.21031	0.00213
Oncogene_Tls/Chop_Fusion_Activated	HG2724-HT2820_at	-1.45769	-0.83055	-1.46227	-1.40715	-1.42668	-1.21719	-1.37386	-1.36832	-1.47649	0.54395	-1.28137	-1.03209	-1.36149	-1.39979	-1.39503	-1.40095	-1.56783	-1.20466	-1.24482	-1.60767	0.741	-0.3521	-1.20963	-1.48332	0.40256	-1.27619	-1.23051	0.81785	0.27465	0.72375	-1.26183	-1.44434	0.32405	-0.97053	-1.22961	-0.13834	0.40329	1.50779
Alpha-cardiac_actin_gene_5'_flank_and	J00073_at	0.20575	-0.45453	0.27332	1.14791	0.48462	0.21345	0.36697	0.56702	0.14038	0.22561	-0.04683	0.50781	0.04498	0.36523	-0.29272	-0.19148	0.47894	0.51387	0.7928	0.14648	0.77139	0.09016	1.23633	0.13638	0.52209	0.33114	0.77297	0.0188	0.94511	0.09027	0.47678	0.68813	0.33249	0.77829	1.00341	0.24001	0.66516	0.48501
Somatostatin_I_gene_and_flanks	J00306_at	0.00068	-0.10475	0.18879	-0.05403	-0.61948	0.12815	0.1871	0.27977	-0.04977	-0.06574	-0.1141	0.32189	-0.75772	-0.15471	-0.31836	-0.17311	-0.46603	-0.1863	0.14568	-0.40615	0.37775	0.16375	-0.1164	-1.48332	0.3837	-0.08558	0.21056	0.26342	-0.12284	-0.35419	0.25373	-0.01742	0.24412	0.34565	0.30367	0.08412	0.30602	0.18228
THBD_gene_extracted_from_Human_thrombomodulin_gene	J02973_rna1_at	-1.45769	-1.3942	-1.46227	-1.40715	-1.42668	-1.21719	-1.37386	-1.36832	-1.47649	-1.21583	-1.28137	-1.03209	-1.36149	-1.39979	-1.39503	-1.40095	-1.56783	-1.20466	-1.24482	-1.60767	-1.06221	-1.12665	-1.20963	-1.48332	-1.25268	-1.27619	-1.23051	-1.43337	-1.08902	-0.61475	-1.26183	-1.44434	0.39425	-1.34158	-1.22961	-1.39906	-1.34579	-1.32403
MYCL2_gene	J03069_rna1_at	1.24805	1.02287	1.23676	1.00082	0.34102	1.80262	1.29375	1.88498	0.78064	1.21773	1.39869	1.36144	1.08245	1.26307	0.94985	1.60538	0.99744	1.55413	1.48092	1.01174	1.91372	1.75041	2.05472	1.49058	1.62443	1.29407	1.36189	0.85691	1.27002	0.34331	1.20664	1.16492	1.61957	1.46649	1.96723	1.0426	1.14579	1.27723
SP-C1_gene_pulmonary_surfactant_protein_SP-C_extracted_from_Human_pulmonary_surfactant_protein_C_SP-C_and_pulmonary_surfactant_protein_C1_SP-C1_genes	J03890_rna1_at	-0.00503	-1.3942	0.01876	-1.40715	-1.42668	-0.31603	-1.02044	-1.36832	-0.62212	-1.19761	-0.44096	-0.49961	-0.51695	-1.39979	-1.39503	-0.30384	-1.56783	0.14902	-0.24657	-1.60767	-1.06221	-0.33132	-0.82973	-1.48332	-1.25268	-0.43369	-0.3478	-0.23023	-1.08902	-1.29865	-0.59371	-0.22934	0.37947	-1.22974	-1.22961	-1.39906	-0.01268	-1.32403
GB_DEF_-_Erythroblastosis_virus_oncogene_homolog_1_ets-1_mRNA	J04101_at	-1.23722	-1.3942	0.72682	0.4669	-1.42668	-0.61165	-1.37386	-1.36832	-0.46339	-0.71148	0.18302	-1.03209	-1.36149	-1.39979	-1.39503	-0.80735	-1.56783	-1.20466	-1.24482	-1.60767	-1.06221	-1.12665	-1.09981	-1.48332	-1.25268	-1.27619	-1.23051	-1.43337	-1.08902	-1.29865	-0.25236	-1.44434	-1.47218	0.58508	-1.22961	-0.47797	-1.34579	-1.32403
ETS2_V-ets_avian_erythroblastosis_virus_E26_oncogene_homolog_2	J04102_at	-0.72622	1.17141	-1.46227	0.98115	0.9221	-1.21719	0.87563	-1.36832	-1.47649	-0.18372	0.61927	1.9384	1.48427	-1.39979	1.10827	0.89269	0.74062	-1.20466	1.32442	0.26458	-1.06221	-0.46347	-1.20963	0.83709	1.63561	-1.07753	-1.23051	1.1966	0.69332	1.0634	0.9924	0.87023	0.18762	0.23496	-1.22961	0.82912	1.21477	-1.32403
C-jun_proto_oncogene_JUN_clone_hCJ-1	J04111_at	-0.80006	-0.96704	0.22177	-1.40715	-0.40273	-0.43597	-0.98283	-0.27466	-0.0094	0.79566	0.21998	-0.33474	-0.02038	-0.77826	-1.39503	-0.63192	-0.92446	0.08057	-0.54442	0.56596	0.20116	0.0715	-0.46337	-0.67373	1.02325	0.22479	-0.47425	0.51357	-0.93477	-0.68624	-1.26183	-0.0084	-0.40633	0.00801	-1.03651	-0.52016	-0.28443	-0.31933
Cytosolic_adenylate_kinase_AK1_gene	J04809_rna1_at	0.33063	-0.32639	0.17797	0.24051	-0.72618	0.25238	-0.14951	0.28424	-0.03558	-0.53314	-0.89633	-0.04232	-0.17458	-0.1741	-0.1169	0.19304	-1.56783	-0.87388	-0.51722	-1.19051	-0.006	-0.0247	-0.03522	-0.1302	-1.25268	-0.38669	0.1982	-0.64792	-0.49577	-0.11804	-0.05793	-0.10104	0.0959	0.1583	-0.22633	-0.1988	-0.50534	-0.09057
GB_DEF_-_Proliferating_cell_nuclear_antigen_PCNA_gene_promoter_region	J05614_at	1.53368	1.55783	2.0968	1.5128	1.82572	2.18817	0.93185	0.67485	1.89849	1.55529	1.76923	1.02726	2.34241	1.50455	2.24673	1.17851	2.01822	2.408	1.55998	0.81654	-1.06221	1.02089	2.24168	1.75178	1.18578	0.77626	1.54848	1.59163	2.22835	0.29447	1.48341	-0.24558	1.03741	-0.31809	0.87666	1.28273	1.5217	2.08835
TCRB_gene_extracted_from_Human_T-cell_receptor_germline_beta-chain_J-beta-1_gene_cluster-_J-beta-1-1_and_J-beta-1-2_genes-_and_D-beta-1-1_gene	K02545_cds2_at	-1.45769	-1.3942	-1.46227	-1.40715	-1.42668	-1.21719	-1.37386	-1.36832	-1.47649	-1.21583	1.00396	-1.03209	-1.36149	0.75508	-1.39503	-1.40095	-0.99876	-1.20466	-1.24482	-1.60767	-1.06221	-1.12665	-1.05749	-1.08432	-1.25268	-1.27619	-1.23051	-1.43337	-1.08902	-1.29865	-1.26183	-0.68777	-1.39819	-1.34158	-1.22961	-1.39906	-1.34579	-1.32403
HepG2_glucose_transporter_gene_mRNA	K03195_at	0.16696	0.00571	0.16977	0.55203	0.34239	0.12159	0.58888	0.5371	0.19337	0.65036	0.47135	0.70203	0.10079	0.45127	0.12115	-0.0199	-0.34425	0.44351	0.83827	0.21159	0.9279	0.98146	0.57699	0.25538	0.53566	0.09835	0.26616	0.6974	1.40378	0.89139	0.17827	0.46663	0.92821	0.45729	0.81244	0.285	1.57894	1.28286
Alpha-tubulin_isotype_H2-alpha_gene_last_exon	K03460_at	0.57111	0.8597	0.48979	0.85703	0.72668	0.40172	1.00556	0.56265	0.78542	1.34962	1.30486	1.58431	-0.07022	0.95271	0.07408	0.89606	0.02024	0.15373	1.23931	1.1661	2.20755	0.27862	0.49879	-0.21123	1.41866	1.15769	1.32435	1.30303	2.09764	0.83111	1.16188	1.11621	1.01447	0.74052	1.25586	-0.1605	1.17506	1.35214
